,"අපට මෙය ඉක්මන් කළ හැකිද? Roxanne Korrine සහ Andrew Barrett හතර දෙනා අතරේ ඇදහිය නොහැකි තරම් බිහිසුණු මහජන විරසකයක් ඇති කරගෙන සිටිති. 
නැවතත්.","හොඳයි, මම හිතුවා අපි උච්චාරණයෙන් පටන් ගනිමු, එය ඔබට හරි නම්."
2437,ඔබ නිවැරදි. මම කිසිවක් සොයා ගත්තේ නැත. මම දුවලා ගිහින් කන්න මොනා හරි අරන් එන්නම්. ඔයාට බඩගිනි ද?,ඔව්.
2438,"මම හැමදාම ඒ ගැන හිතනවා. ඒත්, ෆෝන් එක රින්ග් වෙන හැම වෙලාවෙම... හැම වෙලාවෙම මට හිතෙන්නේ ඒ ඇය කියලා.",අවුරුදු හයක් වෙනවා.
2439,අවුරුදු හයක් වෙනවා.,"මම කුමක් කළ යුතුද? ඇයව අමතකද? කාලය සියලු තුවාල සුව කරයි, හරිද? මම හිතන්නේ ඇය ගැනයි, මම ඒ සමඟ ජීවත් වීමට ඉගෙන ගත්තා. නමුත්, ඔබට අවශ්‍ය සත්‍යය... සැබෑ සත්‍යය? මට තේරීමක් තිබුණා නම් ... මට තෝරා ගත යුතු නම්, ඇය එළිමහනේ සිටීම, හොඳ ජීවිතයක් ගත කිරීම සහ සතුටින් සිටීම සහ මා නොදැන සිටීම අතර; ඇයට සිදුවූයේ කුමක්දැයි කිසිදා සොයා නොගැනීමෙන්... හෝ ඇය මිය ගොස් ඇති බවත්, මා දැන දැනත්... මම දැන ගැනීමට තීරණය කරමි."
2440,ආයුබෝවන්... ?,මැතිව්ස් මහත්මිය? ඒ තෝමස් ය. ඔයාට මතකද මම මීට සති කීපයකට කලින් එහෙ හිටියා... ඔයාගේ දුව ගැන අහනවා...
2441,මැතිව්ස් මහත්මිය? ඒ තෝමස් ය. ඔයාට මතකද මම මීට සති කීපයකට කලින් එහෙ හිටියා... ඔයාගේ දුව ගැන අහනවා...,මට මතකයි. ඔයා ගියා විතරයි...
2442,මට මතකයි. ඔයා ගියා විතරයි...,"මට ඔයාට දෙයක් කියන්න තියෙනවා. එය ඔබට ඇසීම පහසු නොවනු ඇත. ඒ ඔයාගේ දුව ගැන... මේරි ඈන්... මම... ඔයා ළඟ ඉද්දි එයාගේ දිනපොත, ඔයාගේ අට්ටාලයේ, රිදී බඩුවල. කියෙව්වොත් තේරෙයි මම කියන දේ ඇත්ත කියලා..."
2443,ඔයා මොනවද කියවන්නේ... ?,"ඇය කැලිෆෝනියාවට, ලොස් ඇන්ජලීස් වෙත ගියා... ඇයට නැවත ආරම්භ කිරීමට අවශ්‍ය විය. ඇයට අවශ්‍ය වූයේ නිළියක් වීමටය..."
2444,"ඇය කැලිෆෝනියාවට, ලොස් ඇන්ජලීස් වෙත ගියා... ඇයට නැවත ආරම්භ කිරීමට අවශ්‍ය විය. ඇයට අවශ්‍ය වූයේ නිළියක් වීමටය...",කුමක් ද... ?
2445,මැතිව්ස් නෝනා ඔයාගේ දුව මැරිලා. ඇය මැරිලා.,මේ කව්ද... ?
2446,මේ කව්ද... ?,"කවුරුහරි ... සමහර පිරිමි, ඔවුන් ඔබේ දුව රැගෙන ගොස් ඇයව මත්ද්රව්ය ලබා දී, ඔවුන් ඇයව මොටෙල් කාමරයකට ගෙන ගියා ... ඔවුන් ඇයට දරුණු දේවල් කළා ..."
2447,"කවුරුහරි ... සමහර පිරිමි, ඔවුන් ඔබේ දුව රැගෙන ගොස් ඇයව මත්ද්රව්ය ලබා දී, ඔවුන් ඇයව මොටෙල් කාමරයකට ගෙන ගියා ... ඔවුන් ඇයට දරුණු දේවල් කළා ...",ඔයා කව්ද?
2448,ඔයා කව්ද?,ඔවුන් ඇයව කාමරයට ගෙනාවා... එක් මිනිසෙක් ඇගේ උගුරට පිහියක් තබා ඇයව දූෂණය කළේය.
2449,ඔවුන් ඇයව කාමරයට ගෙනාවා... එක් මිනිසෙක් ඇගේ උගුරට පිහියක් තබා ඇයව දූෂණය කළේය.,නැත...
2450,නැත...,ඔහු ඇයව දූෂණය කර...සහ...ඔහු ඇයව ඝාතනය කළේය...ඔහු ඇයව පිහියකින් කපා...
2451,ඔහු ඇයව දූෂණය කර...සහ...ඔහු ඇයව ඝාතනය කළේය...ඔහු ඇයව පිහියකින් කපා...,නෑ නෑ නෑ...
2452,නෑ නෑ නෑ...,"ඔවුන් ඇයව මරා දමා, ඔවුන් ඇයව කොහේ හරි වනාන්තරයකට ගෙන ගොස් ඇයව භූමදාන කළා ..."
2453,"ඔවුන් ඇයව මරා දමා, ඔවුන් ඇයව කොහේ හරි වනාන්තරයකට ගෙන ගොස් ඇයව භූමදාන කළා ...",ඇයි... ඇයි ඔයා මට මෙහෙම කරන්නේ... ?
2454,ඇයි... ඇයි ඔයා මට මෙහෙම කරන්නේ... ?,"ඔවුන් ඇයව ඝාතනය කළා මැතිව්ස් මහත්මිය, මට සමාවෙන්න. එය සිදු වූයේ ඇය පලා ගොස් මාසයකට පසුවය. ඇය මෙච්චර කල් මැරිලා..."
2455,ඔව්... මට මේරිව මතකයි,ඔබ... ඔබ කරනවාද? ඔබට විශ්වාසද? අනේ නංගි ඔයා තව පාරක් බලනවද අනිවාර්යයෙන්...
2456,ඔබ... ඔබ කරනවාද? ඔබට විශ්වාසද? අනේ නංගි ඔයා තව පාරක් බලනවද අනිවාර්යයෙන්...,ඔව්. මට ඇයව මතකයි.
2457,ඇයට සිදු වූ දේ ඔබ දන්නවාද?,මම සොයා බැලීමට උත්සාහ කරමි. ඇය පලා ගිය තැනැත්තියකි. මම ඇගේ දෙමාපියන් ගැන සොයා බලනවා.
2458,මේ කුමක් ද?,ඒ ඇයගේ බඩු බාහිරාදියයි.
2459,ඒ ඇයගේ බඩු බාහිරාදියයි.,ඇගේ බඩු බාහිරාදිය?
2460,ඇගේ බඩු බාහිරාදිය?,ඒ ඇයගේ ගමන් මල්ලයි. ඔබ මට ඇගේ පින්තූරය පෙන්වන තුරු මට එය අමතක විය.
2461,මෙච්චර කල් මේක තියාගන්න ඔයාට මොනවා තිබුනත්?,"ඔබ කවදා හෝ හමුවීමට කැමති කාරුණික, සොඳුරුතම දැරිය ඇයයි. ඔහ්, මම ඇයට ආදරය කළා. මම හිතුවේ ඇය නැවත එයි කියලා මම නිතරම බලාපොරොත්තු වෙනවා කියලා. කාලයකට පසු, මට කළ හැකි වූයේ ඇය වඩා හොඳ දේවල් කරා ගමන් කරන ලෙස යාච්ඤා කිරීමයි. එය සුදුසු යැයි ඔබ සිතන්නේ නම්, ඔබට මෙම ගමන් මල්ල ඇයගේ දෙමාපියන්ට ලබා දිය හැකිද?"
2462,"ඔබ කවදා හෝ හමුවීමට කැමති කාරුණික, සොඳුරුතම දැරිය ඇයයි. ඔහ්, මම ඇයට ආදරය කළා. මම හිතුවේ ඇය නැවත එයි කියලා මම නිතරම බලාපොරොත්තු වෙනවා කියලා. කාලයකට පසු, මට කළ හැකි වූයේ ඇය වඩා හොඳ දේවල් කරා ගමන් කරන ලෙස යාච්ඤා කිරීමයි. එය සුදුසු යැයි ඔබ සිතන්නේ නම්, ඔබට මෙම ගමන් මල්ල ඇයගේ දෙමාපියන්ට ලබා දිය හැකිද?",මම මට පුළුවන් දේ කරන්නම්.
