,Question,Answer
1675,Noo! NO!,"All right, fine, you know what, we'll both sit in the chair. I'm soooo, comfortable."
1676,"Me too. In fact, I think I might be a little too comfortable.",All right!
1677,"Okay, look, we have nineteen minutes. Okay, Chandler, I want you to go and change! Okay. And then, when you come back, Joey will go change, and he'll have vacated the chair. Okay. Okay.","All right! Fine! I'm going. But when I get back it's chair sitting, and I'm the guy who's....sitting in a chair!"
1678,"Well, who's voice was that?","Maybe it was his sister's. You know, maybe it was his daughter's."
1679,"Yeah, which, which we have to leave for in exactly twelve minutes. All right, come on, I'll just pick something out for you.","""All right, you will notice that I am fully dressed. I, in turn, have noticed that you are not. So in the words of A. A. Milne, """"Get out of my chair, dillhole!"""""""
1680,Okay.,What are you doing?
1681,"You said I had to give you the chair, you didn't say anything about the cushions.",The cushions are the essence of the chair!
1682,That's right! I'm taking the essence.,"Oh-ho, it'll be back. Oh-ho, there's nobody in the room."
1683,"No honey, we're sorry, we didn't mean it. I love you. I love you.",We used them as pillows when we went camping.
1684,What?,The sheep.
1685,"Whoa, whoa, whoa. Come on, come on, what. You took his underwear?",He took my essence!
1686,It's a rented tux. Okay. I'm not gonna go commando in another man's fatigues.,"Well, then it looks like somebody is gonna have to give back somebody his cushions."
1687,"Okay, you hide my clothes. I'm gonna do the exact opposite to you.","What are you, what are you gonna show me my clothes?"
1688,"Hey, opposite, is opposite!",He's got nothing!
1689,"Okay, I'm ready.","Oh, aaaah!"
1690,"Rachel, didn't have anything that I liked, so, but she had this Christmas ribbon, and I thought, 'All right, fine I'll be political.'",What are you supporting?
1691,"It was, it was her voice.","Monica, I think you've gone over to the bad place."
1692,"Uh, Michelle. Yeah, that was me, I-I dialed your number by mistake. Oh, you're so sweet. Yeah, we were a great couple. I know I really miss him. Well, you know how it is, it's that....","You know what's weird. Donald Duck never wore pants. But whenever he's getting out of the shower, he always put a towel around his waist. I mean, what is that about?"
1693,"Okay, fine.","They got a phone in there, right?"
1694,Get away from that! No! She's just getting dressed.,Is it wrong that I was totally aroused by that?
1695,"Okay, buddy-boy. Here it is. You hide my clothes, I'm wearing everything you own.",Oh my God! That is so not the opposite of taking somebody's underwear!!
1696,Look at me! I'm Chandler! Could I be wearing any more clothes? Maybe if I wasn't going commando...,Oooo-ooh!
1697,"Okay, okay. Enough, enough with the lunging. No! I'm sick of this. Okay. I've had it up to here with you two! Neither you can come to the party!","Jeez, what a baby."
1698,,Stop it. Stop it!
1699,"Well, I have to tell you, I was quite impressed with your paper on Pre-Cretaceous fossils. Yeah, it confirmed everything that I have written.",Excuse me. Hi.
1700,Yes?,"Well, your kind of sitting in my seat."
1701,"What do you mean, your seat?","I mean, I was sitting there."
1702,"But, you got up!","But, I never left the room!"
1703,"But, you left the chair area.","All right, that's it, give me your underwear."
1704,WHOAA!!,"See Joe, that's why your parents told you not to jump on the bed."
1705,Hey.,Hey.
1706,Nooo. I had a story all worked out but then Chandler sold me out.,"Well, I'm sorry Joe. I didn't think the doctor was gonna buy that it just *fell* out of the socket."
1707,"Whoa, jam! I love jam! Hey, how come we never have jam at our place?",Because the kids need new shoes.
1708,Hey.,Do I look fat?
1709,Noo.,"Okay, I accept that. When Janice asked me and I said no, she took that to mean that I was calling her a cow."
1710,"Okay, walk us through it, honey, walk us through it.","Okay, well. Janice said 'Hi, do I look fat today?' And I, I looked at her...."
1711,And it works both ways.,"Okay, so you both just know this stuff?"
1712,"Okay, for instance. Let's say, Janice is coming back from a trip and she gives you two options. Option number 1 she'll take a cab home from the airport. Option 2 is you can meet her at baggage claim. Which do you do?","That's easy, baggage claim."
1713,"Wrong! Now you're single. It's actually secret option number three, you meet her at the gate. That way she knows you love her.","Okay, this is good, this is good. All right listen, I have one. Janice likes to cuddle, at night, which, you know I'm all for. But, uh, you know when you want to go to sleep, you want some space. So, uh, how do I tell her that without, you know, accidentally calling her fat or something."
1714,Good luck Chandler.,Thank you Rachel.
1715,"Okay the sleeping thing. Very tricky business, but there is something you can do.","Well, I thought you guys were cuddlily sleepers."
1716,"Noo! No, not cuddlily, not me, just her. I'm like you, I need the room. Okay, come here. Okay, you're in bed...",Yeah.
1717,I'm gonna use the cushion.,Yeah.
1718,"Okay, you're in bed. She's over on your side, cuddling. Now you wait for her to drift off, and then you hug her and roll her back over to her side of the bed. And then you rollll a-way. Hug for her! Roll for you.","Okay, the old hug and roll."
1719,Yep.,"Okay, one question."
1720,Shoot.,You're pretending the pillow's a girl right?
1721,"Okay, first I'm not crazy. And second, say it don't spray it. Anyway his name is Malcom, and he wasn't following me, I mean he was, but 'cause he thought I was Ursula, ick. And, that's why, that's why he couldn't just come up and talk to me. 'Cause of the restraining order.","Umm, not feeling better 'bout Malcom."
1722,Aww. Ohh!,"Hey, Joe, I gotta ask. The girl from the Xerox place buck naked , or, or a big tub of jam."
1723,"I figured out I need to charge seventeen bucks a jar just to break even. So, I've got a new plan now. Babies.","Well, your gonna need much bigger jars."
1724,"It took me 28 years to find one man that I wanna spend my life with, if I have to wait another 28 years then, I'll be 56 before I can have a baby, and that's just stupid.","That, that's what's stupid."
1725,Night-night Bing-a-ling.,"Night-night.....Janice. 'Look at all that room on her side, you good fit a giant penguin over there. That would be weird though. Okay, hug and roll time. I'm huggin', I'm huggin', your rollin', and....yes! Freedom! Except for this arm! I'm stuck. Stuck arm! Okay, time for the old table cloth trick, one fluid motion. Quick like a cat, quick like a cat! And 1...2...3!'"
1726,,"No, that's all right. I just had a jar of mustard."
1727,"""Okay, sperm donor number 03815, come on down! Okay, he's 6'2"""", 170 pounds, and he describes himself as a male Geena Davis.""",You mean there's more than one of us.
1728,"Well, right after I did that sex study down at NYU. Hey, Remember that sweater I gave you for your birthday?",And that's how you bought it?
1729,"What, he's not still following her. Do you think he is still following her?","Pheebs, wake up and smell the restraining order."
1730,"Hey. Uh, Chan, can I uh, can I talk to you for a second?",Sure. What's up?
1731,Are you intrigued?,You're flingin'-flangin' right I am!
1732,,"Well, it's official there are no good movies."
1733,Hey.,"Hey, man. What's up?"
1734,Maybe you can tell me. My agent would like to know why I didn't show up at the audition I didn't know I had today. The first good thing she gets me in weeks. How could you not give me the message?!,"Well, I'll tell ya I do enjoy guilt, but, ah, it wasn't me."
1735,"'Annie! Hi. Listen we got a problem with Joey Tribbiani, apparently he missed his audition. Who did you speak to in my office? Estelle, no, I don't know what I'm going to do with her. No. All right, so your husband leaves and burns down the apartment, the world does not stop.'",Is anybody else scared?
1736,"'Right, well look, um, if Joey loses this audition, that is it for Estelle. I don't care! Annie you are a doll, what time can you see him?' I need a pen.",Get the woman a pad! Get the woman a pad! A pad! A pad!
1737,"I'm sorry, it just felt nice.",Joe. Joe! Answer the phone.
1738,"Hey, I only got one good arm, you know. You should be doing stuff for me. Go get me a sweater.","Just do it! Okay, it's Janice and if I get it I'm going to have to see her tonight. Oh, that's great I'm gonna have to see her tonight."
1739,What's the big deal? Why don't you wanna see Janice?,"Okay, last night at dinner, when the meals came, she put half her chicken piccata on my plate and took my tomatoes."
1740,"And that's bad because..., you hate chicken piccata?",Noo.
1741,"You didn't want to share your tomatoes, tomatoes are very important to you.","No, it's like all of the sudden, we were this couple. And this alarm started going off in my head 'Run for your life! Get out of the building!'"
1742,"What is it with you people! I mean, the minute you start to feel something, you have to run away?","I know, that, that's why I don't want to go tonight, I'm afraid I'm going to say something stupid."
1743,"Hey, you know about that?!","Look what do I do? I wanna get past this, I don't wanna be afraid of the commitment thing. I wanna go through the tunnel, to the other side!"
1744,Where there is no fear of commitment.,Do we have any... Do we have any thoughts here?
1745,"Amazingly, that makes sense.",You think?
1746,"Oh, yeah. Go for it man, jump off the high dive, stare down the barrel of the gun, pee into the wind!","Yeah, Joe, I assure you if I'm staring down the barrel of a gun, I'm pretty much peeing every which way."
1747,"So, how come you wanted to eat in tonight?","'Cause, I wanted to uh, give you this."
1748,"Ohhh, are you a puppy! Contact paper! I never really know what to say when someone you're sleeping with gives you contact paper.","Well, wait there's, there's more. See the contact paper is to go into your brand new drawer. See, the drawer actually goes in my dresser."
